Subject Id,Id_Corso,Superamento_Corso,VOTO,Forum,Log,Sistema,URL,Wiki,Cartella,Compito,Registro valutatore,Risorsa,Statistiche,Workshop,AttivitÃ  del corso,Chat,Tour utente,Scheda individuale,Scheda globale utente,Consegna file,Consegne testo online
4,01,Non superato,/,10,0,12,1,9,1,0,1,1,0,0,1,3,2,0,0,0,0
5,01,Non superato,/,2,0,4,1,7,1,0,0,0,0,0,0,3,2,1,0,0,0
6,01,Non superato,/,0,0,3,1,4,1,0,0,0,0,0,0,1,2,0,0,0,0
7,01,Non superato,/,1,0,2,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0
8,01,Superato,30L,2,0,5,1,4,1,0,0,0,0,0,0,3,2,1,0,0,0
9,01,Superato,28,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
10,01,Superato,28,2,0,2,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0
11,01,Non superato,/,1,0,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0
13,01,Superato,30L,0,0,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0
14,01,Superato,28,5,0,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
15,01,Superato,30,2,0,3,1,4,1,0,0,0,0,0,0,3,2,0,0,0,0
17,01,Superato,30,1,0,3,1,4,1,0,0,0,0,0,0,2,2,0,0,0,0
20,01,Non superato,/,2,0,2,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0
22,01,Superato,30L,5,0,3,1,4,1,0,0,0,0,0,0,2,2,0,0,0,0
23,01,Superato,30,6,0,3,1,4,1,0,0,0,0,0,0,1,2,1,0,0,0
24,01,Superato,30,2,0,3,1,5,1,0,0,0,0,0,0,0,2,1,0,0,0
25,01,Non superato,/,1,0,2,1,5,1,0,0,0,0,0,0,0,2,0,0,0,0
28,01,Superato,30,5,0,5,1,4,1,0,0,0,0,0,0,2,1,0,0,0,0
70,01,Superato,30,9,0,5,1,4,1,0,0,0,0,0,0,2,2,0,0,0,0
71,01,Non superato,/,5,0,3,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
72,01,Superato,28,2,0,3,1,4,1,0,0,0,0,0,0,3,2,0,0,0,0
74,05,Non superato,/,0,0,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0
75,05,Non superato,/,1,0,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0
